codigo1,DESCRIPCION_CIEX
F430  ,Reaccion a Estres Agudo                                                                             
F800  ,Trastorno Especifico de la Pronunciacion                                                            
F82X  ,Trastorno Especifico del Desarrollo Psicomotor                                                      
F980  ,Enuresis no Organica                                                                                
G400  ,Epilepsia y Sindromes Epilepticos Idiopaticos Relacionados con Localizaciones (Focales)             
G403  ,Epilepsia y Sindromes Epilepticos Idiopaticos Generalizados                                         
G404  ,Otras Epilepsias y Sindromes Epilepticos Generalizados                                              
G409  ,Epilepsia - Tipo                                                                      
G430  ,Migrana sin Aura [Migrana Comun]                                                                    
G431  ,Migrana con Aura [Migrana Clasica]                                                                  
G439  ,Migrana                                                                         
G442  ,Cefalea debida a Tension                                                                            
G510  ,Paralisis de Bell                                                                                   
G934  ,Encefalopatia no Especificada                                                                       
H000  ,Orzuelo y otras Inflamaciones Profundas del Parpado                                                 
H001  ,Calacio [Chalazion]                                                                                 
H103  ,Conjuntivitis Aguda                                                             
H104  ,Conjuntivitis Cronica                                                                               
H109  ,Conjuntivitis                                                                   
H110  ,Pterigion                                                                                           
H409  ,Glaucoma                                                                            
H509  ,Estrabismo                                                                          
H540  ,Ceguera binocular                                                                                   
H571  ,Dolor Ocular                                                                                        
H579  ,Trastorno del Ojo y sus Anexos                                                      
H651  ,Otitis Media Aguda no Supurada                                                                      
H659  ,Otitis Media no Supurativa - sin otra Especificacion                                                 
H660  ,Otitis Media Aguda Supurada                                                                         
H919  ,Disminucion de la Agudeza Auditiva sin Especificacion                                               
I10X  ,Hipertension Esencial (Primaria)                                                                    
I119  ,Enfermedad Cardiaca Hipertensiva sin Insuficiencia Cardiaca (Congestiva)                            
I209  ,Angina de Pecho                                                                 
I64X  ,Accidente Vascular Encefalico Agudo  como Hemorragico o  Isquemi                    
J00X  ,Rinofaringitis Aguda - Rinitis Aguda                                                                 
J013  ,Sinusitis Esfenoidal Aguda                                                                          
J020  ,Faringitis Estreptococica                                                                           
J028  ,Faringitis Aguda debida a otros Microorganismos Especificados                                       
J029  ,Faringitis Aguda                                                                
J039  ,Amigdalitis Aguda                                                               
J041  ,Traqueitis Aguda                                                                                    
J068  ,Faringo Amigdalitis Aguda                                                                           
J09X  ,Influenza aviar                                                                                     
J129  ,Neumonia Viral                                                                  
J154  ,Neumonia debida a otros Estreptococos                                                               
J180  ,Bronconeumonia                                                                  
J189  ,Neumonia                                                                        
J209  ,Bronquitis Aguda                                                                
J219  ,Bronquiolitis sin Especificar - Bronquiolitis Aguda                                                  
J304  ,Rinitis Alergica                                                                
J40X  ,Bronquitis - no Especificada como Aguda o Cronica                                                    
J410  ,Bronquitis Cronica Simple                                                                           
J42X  ,Bronquitis Cronica no Especificada                                                                  
J450  ,Asma Predominantemente Alergica. Bronquitis Alergica                                                
J459  ,Asma . Asma de Aparicion Tardia. Bronquitis Asmatica/Sob Sibiliancia - Hip            
J46X  ,Estado Asmatico.  Asma Aguda Severa.                                                                
K006  ,Alteraciones en la Erupcion dentaria                                                                
K020  ,Caries Limitada al Esmalte                                                                          
K021  ,Caries de la dentina                                                                                
K036  ,Depositos (Acreciones) en los dientes                                                               
K040  ,Pulpitis                                                                                            
K041  ,Necrosis de la Pulpa                                                                                
K046  ,Absceso Periapical con Fistula                                                                      
K047  ,Absceso Periapical sin Fistula                                                                      
K050  ,Gingivitis Aguda                                                                                    
K081  ,Perdida de dientes debida a Accidentes - Extraccion o Enfermedad Periodontal Local                   
K088  ,Otras Afecciones Especificadas de los dientes y de Estructura de Sosten                             
K103  ,Alveolitis del Maxilar                                                                              
K120  ,Estomatitis Aftosa Recurrente                                                                       
K122  ,Celulitis y Abceso de Boca                                                                          
K219  ,Enfermedad del Reflujo Gastroesofagico sin Esofagitis                                               
K279  ,Ulcera Peptica - no Especificada como Aguda ni Cronica - sin Hemorragia ni Perforacion                
K292  ,Gastritis Alcoholica                                                                                
K295  ,Gastritis Cronica                                                               
K296  ,Otras Gastritis                                                                                     
K297  ,Gastritis                                                                       
K30X  ,Dispepsia                                                                                           
K37X  ,Apendicitis                                                                     
K400  ,Hernia Inguinal Bilateral con Obstruccion - sin Gangrena                                             
K409  ,Hernia Inguinal Unilateral o no Especificada - sin Obstruccion ni Gangrena                           
K429  ,Hernia Umbilical sin Obstruccion ni Gangrena                                                        
K469  ,Hernia Abdominal no Especificada - sin Obstruccion ni Gangrena                                       
K510  ,Pancolitis (Cronica) Ulcerativa                                                                     
K522  ,Colitis y Gastroenteritis Alergicas y dieteticas                                                    
K529  ,Colitis y Gastroenteritis no Infecciosas - no Especificadas                                          
K564  ,Otras Obstrucciones del Intestino                                                                   
K566  ,Otras Obstrucciones Intestinales y las no Especificadas                                             
K590  ,Constipacion                                                                                        
K591  ,Diarrea Funcional                                                                                   
K623  ,Prolapso Rectal                                                                                     
K703  ,Cirrosis Hepatica Alcoholica                                                                        
K729  ,Insuficiencia Hepatica                                                          
K800  ,Calculo de la Vesicula Biliar con Colecistitis Aguda                                                
K802  ,Calculo de la Vesicula Biliar sin Colecistitis                                                      
K805  ,Calculo de Conducto Biliar sin Colangitis ni Colecistitis                                           
K810  ,Colecistitis Aguda                                                                                  
K811  ,Colecistitis Cronica                                                                                
K821  ,Hidropesia de la Vesicula Biliar                                                                    
K859  ,Pancreatitis aguda                                                              
K913  ,Obstruccion Intestinal Postoperatoria                                                               
L010  ,Impetigo [Cualquier Sitio Anatomico] [Cualquier Organismo]                                          
L022  ,Absceso Cutaneo - Furunculo y Carbunco del Tronco                                                    
L030  ,Celulitis de los dedos de la Mano y del Pie                                                         
L038  ,Celulitis de otros Sitios                                                                           
L039  ,Celulitis de Sitio                                                                   
L040  ,Linfadenitis Aguda de Cara - Cabeza y Cuello                                                         
L049  ,Linfadenitis Aguda de Sitio                                                          
L200  ,Prurigo de Besnier                                                                                  
L209  ,Dermatitis Atopica                                                              
L230  ,Dermatitis Alergica de Contacto debida a Metales                                                    
L239  ,Dermatitis Alergica de Contacto - de causa no Especificada                                           
L301  ,Dishidrosis [Ponfolix]                                                                              
L500  ,Urticaria Alergica                                                                                  
L504  ,Urticaria Vibratoria                                                                                
L519  ,Eritema Multiforme                                                                  
L570  ,Queratosis Actinica                                                                                 
L600  ,Una Encarnada                                                                                       
L984  ,Ulcera Cronica de la Piel - no Clasificada en otra parte                                             
M069  ,Artritis Reumatoide                                                             
M109  ,Gota                                                                            
M128  ,Otras Artropatias Especificas - no Clasificadas en otra parte                                        
M131  ,Monoartritis - no Clasificada en otra parte                                                          
M139  ,Artritis                                                                        
M159  ,Poliartrosis                                                                    
M169  ,Coxartrosis                                                                     
M171  ,Otras Gonartrosis Primarias                                                                         
M179  ,Gonartrosis                                                                     
M192  ,Artrosis Secundaria de otras Articulaciones                                                         
M199  ,Artrosis                                                                        
M245  ,Contractura Articular                                                                               
M255  ,Dolor en Articulacion                                                                               
M402  ,Otras Cifosis y las no Especificadas                                                                
M436  ,Torticolis                                                                                          
M439  ,Dorsopatia Deformante                                                           
M540  ,Paniculitis que afecta Regiones del Cuello y de la Espalda                                          
M542  ,Cervicalgia                                                                                         
M544  ,Lumbago con Ciatica                                                                                 
M545  ,Lumbago                                                                              
M549  ,Dorsalgia                                                                       
M609  ,Miositis                                                                        
M624  ,Contractura Muscular                                                                                
M628  ,Otros Trastornos Especificados de los Musculos                                                      
M654  ,Tenosinovitis de Estiloides Radial [de Quervain]                                                    
M659  ,Sinovitis y Tenosinovitis                                                       
M705  ,Otras Bursitis de la Rodilla                                                                        
M773  ,Espolon Calcaneo                                                                                    
M791  ,Mialgia                                                                                             
M796  ,Dolor en Miembro                                                                                    
M819  ,Osteoporosis no Especificada - sin Fractura Patologica                                               
M939  ,Osteocondropatia                                                                
M940  ,Sindrome de la Articulacion Condrocostal [Tietze]                                                   
M948  ,Otros Trastornos Especificados del Cartilago                                                        
N139  ,Uropatia Obstructiva y por Reflujo - sin otra Especificacion                                         
N142  ,Nefropatia Inducida por Drogas - Medicamentos y Sustancias Biologicas no Especificadas               
N200  ,Calculo del Rinon                                                                                   
N201  ,Calculo del Ureter                                                                                  
N219  ,Calculo de las Vias Urinarias Inferiores                                            
N23X  ,Colico Renal                                                                        
N281  ,Quiste de Rinon - Adquirido                                                                          
N300  ,Cistitis Aguda                                                                                      
N324  ,Ruptura de la Vejiga - no Traumatica                                                                 
N342  ,Otras Uretritis                                                                                     
N370  ,Uretritis en Enfermedades Clasificadas en otra parte                                                
N390  ,Infeccion de Vias Urinarias - Sitio                                                   
N392  ,Proteinuria Ortostatica                                                         
N398  ,Otros Trastornos Especificados del Sistema Urinario                                                 
N40X  ,Hiperplasia de la Prostata                                                                          
N512  ,Balanitis en Enfermedades Clasificadas en otra parte                                                
N601  ,Mastopatia Quistica difusa                                                                          
N61X  ,Trastornos Inflamatorios de la Mama                                                                 
N63X  ,Masa no Especificada en la Mama                                                                     
N643  ,Galactorrea no Asociada con el Parto                                                                
N644  ,Mastodinia                                                                                          
N719  ,Enfermedad Inflamatoria del Utero                                               
N72X  ,Enfermedad Inflamatoria del Cuello Uterino                                                          
N739  ,Enfermedad Inflamatoria Pelvica                                                                     
N760  ,Vaginitis Aguda                                                                                     
N768  ,Otras Inflamaciones Especificadas de la Vagina y de la Vulva                                        
N832  ,Otros Quistes Ovaricos y los s                                                       
N870  ,Displasia Cervical Leve / Neoplasia Intraepitelial Cervical Grado  1 (Nic1)                         
N890  ,Displasia Vaginal Leve                                                                              
N911  ,Amenorrea Secundaria                                                                                
N921  ,Menstruacion Excesiva y Frecuente con Ciclo Irregular                                               
N924  ,Hemorragia Excesiva en Periodo Premenopausico                                                       
N926  ,Menstruacion Irregular                                                          
N939  ,Hemorragia Vaginal y Uterina Anormal                                            
N945  ,Dismenorrea Secundaria                                                                              
N946  ,Dismenorrea                                                                     
O009  ,Embarazo Ectopico                                                                    
O034  ,Aborto Espontaneo - Incompleto - sin Complicacion                                                     
O064  ,Aborto  - Incompleto - sin Complicacion                                                
O13X  ,Pre- Eclampsia Leve                                                                                 
O200  ,Amenaza de Aborto                                                                                   
O219  ,Vomitos del Embarazo s                                                              
O234  ,Infeccion no Especificada de las Vias Urinarias en el Embarazo                                      
O239  ,Otras Infecciones y las no Especificadas de las Vias Genitourinarias en el Embarazo                 
O25X  ,Desnutricion en el Embarazo                                                                         
O260  ,Aumento Excesivo de Peso en el Embarazo                                                             
O261  ,Aumento Pequeno de Peso en el Embarazo                                                              
O309  ,Embarazo Multiple                                                                   
O321  ,Atencion Materna por Presentacion de Nalgas                                                         
O324  ,Atencion Materna por Cabeza Alta en Gestacion a Termino                                             
O459  ,Desprendimiento Prematuro de Placenta sin otra Especificacion                                       
O470  ,Amenaza de Parto Prematuro                                                                          
O471  ,Falso Trabajo de Parto a las 37 y Mas Semanas Completas de Gestacion                                
O479  ,Falso Trabajo de Parto - sin otra Especificacion                                                     
O600  ,Trabajo de parto prematuro sin parto                                                                
O664  ,Fracaso de la Prueba del Trabajo de Parto                                       
O901  ,Dehiscencia de Sutura Obstetrica Perineal                                                           
O990  ,Anemia que Complica el Embarazo - Parto y/o Puerperio                                                
Q172  ,Microtia                                                                                            
Q701  ,Membrana Interdigital de la Mano                                                                    
R02X  ,Gangrena - no Clasificada en otra parte                                                              
R040  ,Epistaxis                                                                                           
R100  ,Abdomen Agudo                                                                                       
R101  ,Dolor Abdominal Localizado en parte Superior                                                        
R103  ,Dolor Localizado en otras partes Inferiores del Abdomen                                             
R104  ,Otros dolores Abdominales y los s                                                    
R11X  ,Nausea y Vomito                                                                                     
R13X  ,Disfagia                                                                                            
R21X  ,Salpullido y otras Erupciones Cutaneas no Especificadas                                             
R221  ,Tumefaccion - Masa o Prominencia Localizada en el Cuello                                             
R252  ,Calambres y Espasmos                                                                                
R31X  ,Hematuria                                                                       
R509  ,Fiebre                                                                          
R51X  ,Cefalea                                                                                             
R520  ,Dolor Agudo                                                                                         
R529  ,Dolor                                                                               
R600  ,Edema Localizado                                                                                    
R730  ,Anormalidades en la Prueba de Tolerancia a la Glucosa                                               
R739  ,Hiperglicemia                                                                   
R91X  ,Hallazgos Anormales en diagnostico por Imagen del Pulmon                                            
S000  ,Traumatismo Superficial del Cuero Cabelludo                                                         
S001  ,Contusion de los Parpados y de la Region Periocular                                                 
S005  ,Traumatismo Superficial del Labio y de la Cavidad Bucal                                             
S009  ,Traumatismo Superficial de la Cabeza - parte no Especificada                                         
S010  ,Herida del Cuero Cabelludo                                                                          
S013  ,Herida del Oido                                                                                     
S015  ,Herida del Labio y de la Cavidad Bucal                                                              
S018  ,Herida de otras partes de la Cabeza                                                                 
S019  ,Herida de la Cabeza - parte no Especificada                                                          
S055  ,Herida Penetrante del Globo Ocular con Cuerpo Extrano                                               
S058  ,Otros Traumatismos del Ojo y de la Orbita                                                           
S059  ,Traumatismo del Ojo y de la Orbita                                                  
S098  ,Otros Traumatismos de la Cabeza - Especificados                                                      
S119  ,Herida de Cuello - parte no Especificada                                                             
S202  ,Contusion del Torax                                                                                 
S212  ,Herida de la Pared Posterior del Torax                                                              
S299  ,Traumatismo del Torax                                                               
S301  ,Contusion de la Pared Abdominal                                                                     
S302  ,Contusion de Organos Genitales Externos                                                             
S400  ,Contusion del Hombro y del Brazo                                                                    
S411  ,Herida del Brazo                                                                                    
S462  ,Traumatismo del Tendon y Musculo de otras partes del Biceps                                         
S500  ,Contusion del Codo                                                                                  
S518  ,Herida de otras partes del Antebrazo                                                                
S519  ,Herida del Antebrazo - parte no Especificada                                                         
S601  ,Contusion de dedo (s) de la Mano con dano de La (s) Una (s)                                         
S602  ,Contusion de otras partes de la Muneca y de la Mano                                                 
S610  ,Herida de dedo (s) de la Mano - sin dano de La (s) Una (s)                                           
S611  ,Herida de dedo (s) de la Mano - con dano de La (s) Una (s)                                           
S617  ,Heridas Multiples de la Muneca y de la Mano                                                         
S618  ,Herida de otras partes de la Muneca y de la Mano                                                    
S619  ,Herida de la Muneca y de la Mano - parte no Especificada                                             
S628  ,Fractura de otras partes y de las no Especificadas de la Muneca y de la Mano                        
S630  ,Luxacion de la Muneca                                                                               
S649  ,Traumatismo de Nervio  a nivel de la Muneca y de la Mano                             
S800  ,Contusion de la Rodilla                                                                             
S801  ,Contusion de otras partes y las no Especificadas de la Pierna                                       
S810  ,Herida de la Rodilla                                                                                
S817  ,Heridas Multiples de la Pierna                                                                      
S819  ,Herida de la Pierna - parte no Especificada                                                          
S822  ,Fractura de la diafisis de la Tibia                                                                 
S900  ,Contusion del Tobillo                                                                               
S903  ,Contusion de otras partes y de las no Especificadas del Pie                                         
S911  ,Herida de dedo (s) del Pie sin dano de La (s) Una (s)                                               
S913  ,Herida de otras partes del Pie                                                                      
S917  ,Heridas Multiples del Tobillo y del Pie                                                             
S929  ,Fractura del Pie                                                                
T009  ,Traumatismos Superficiales Multiples s                                              
T039  ,Luxaciones - Torceduras y Esguinces Multiples s                                      
T131  ,Herida de Miembro Inferior - nivel                                                    
T140  ,Traumatismo Superficial de Region no Especificada del Cuerpo                                        
T141  ,Herida de Region no Especificada del Cuerpo                                                         
T159  ,Cuerpo Extrano en parte Externa del Ojo - Sitio                                       
T220  ,Quemadura del Hombro y Miembro Superior - Grado  - Excepto de la Muneca y d            
T240  ,Quemadura de la Cadera y Miembro Inferior - Grado  - Excepto Tobillo y Pie             
T250  ,Quemadura del Tobillo y del Pie - Grado                                               
T251  ,Quemadura del Tobillo y del Pie - de Primer Grado                                                    
T630  ,Veneno de Serpiente                                                                                 
T633  ,Veneno de Aranas                                                                                    
T634  ,Veneno de otros Artropodos                                                                          
T781  ,Otra Reaccion Adversa a Alimentos - no Clasificada en otra parte                                     
T784  ,Alergia no Especificada                                                                             
T858  ,Otras Complicaciones de dispositivos Protesicos - Implantes e Injertos Internos - no Clasi            
U0012 ,Actividades de Nutricion y Apoyo Alimentario                                                        
U0031 ,Actividades de Materno Perinatal                                                                    
U0101 ,Actividades de Promocion de la Salud                                                                
U100  ,Aplicacion de  Cuestionario                                                                         
U130  ,Orientacion y Consejeria de ITS                                                                     
U140  ,Entrevista de Tamizaje                                                                              
U146  ,Estudio de la Identificacion de la demanda y/o Necesidades Sociales del Usuario                     
U160  ,Nino / Adolescente / Persona Sana                                                                   
U1692 ,Plan de Atencion de Parto                                                                           
U200  ,Sintomatico Respiratorio                                                                            
U2141 ,Toma de Muestra                                                                                     
U2142 ,Toma de Muestra de diagnostico                                                                      
U2601 ,Entrega de Resultados PAP Cuello Uterino                                                            
U2611 ,Entrega de Resultados Biopsia de Cervix                                                             
U262  ,Evaluacion y Entrega de Resultados Diagnostico                                                      
U2626 ,Evaluacion y Entrega de Resultados de Lepra                                                         
U264  ,Evaluacion y Entrega de Resultados de Muestra para ITS                                              
U2641 ,Evaluacion y Entrega de Resultados de RPR                                                           
U2653 ,Evaluacion y Entrega de Resultado de HvB                                                            
U305  ,Aplicacion de Inyectables                                                                           
U307  ,Atenci¢n preconcepcional                                                                            
U310  ,Administracion Supervisada de Tratamiento                                                           
U317  ,Tratamiento Its                                                                                     
U400  ,Monitoreo Ambiental de la Calidad de Aire                                                           
U510  ,Alta Basica Odontologica ABO                                                                        
U728  ,Orientación Familiar                                                                                
U8170 ,Control y Evaluacion Nutricional (Registro Individual)                                              
X230  ,Contacto Traumatico con Avispones - Avispas y Abejas - en Vivienda                                    
Y4252 ,Efectos Secundarios de Inyectables Trimestral                                                       
Y450  ,Efectos Adversos de Opiaceos y Analgesicos Relacionados                                             
Y913  ,Intoxicacion Alcoholica Muy Severa                                                                  
Z000  ,Examen Medico General                                                                               
Z001  ,Control de Crecimiento y desarrollo / Control de Salud de rutina del Ni¤o                           
Z0017 ,Nino con Alimentacion Complementaria Adecuada                                                       
Z003  ,Examen del estado de desarrollo del adolescente                                                     
Z006  ,Examen para Comparacion y Control Normales en Programa de Investigacion Clinica                     
Z008  ,Otros Examenes Generales / Valoracion Clinica del Adulto Mayor                                      
Z010  ,Examen de Ojos y de la Vision                                                                       
Z011  ,Examen de Oidos y de la Audicion                                                                    
Z013  ,Examen de la Presion Sanguinea                                                                      
Z0142 ,Examen Pelvico                                                                                      
Z0143 ,Examen de Mama                                                                                      
Z017  ,Examen de Laboratorio                                                                               
Z0177 ,Bateria de Laboratorio de la Gestante                                                               
Z018  ,Otros Examenes Especiales Especificados                                                             
Z0182 ,Inspeccion Visual con Acido Acetico (IVAA)                                                          
Z019  ,Examen Especial                                                                      
Z026  ,Examen para Fines de Seguros                                                                        
Z0273 ,Expedicion de Certificado de Nacimiento                                                             
Z028  ,Otros Examenes para Fines Administrativos                                                           
Z042  ,Examen y Observacion Consecutivos a Accidente de Trabajo                                            
Z043  ,Examen y Observacion Consecutivos a Otro Accidente                                                  
Z108  ,Otros Controles Generales de Salud de Rutina de otras Subpoblaciones definidas                      
Z115  ,Examen de Pesquisa Especial para otras Enfermedades Virales                                         
Z119  ,Examen de Pesquisa Especial para Enfermedades Infecciosas y Parasitarias no Especificada            
Z2781 ,Vacunacion Dt (Difteria Tetanos)                                                                    
Z292  ,Otra Quimioterapia Profilactica                                                                     
Z298  ,Otras Medidas Profilaticas Especificadas (administraci¢n de micronutrientes)                        
Z300  ,Consejo y Asesoramiento General sobre la Anticoncepcion                                             
Z3002 ,Consejeria y Orientacion AQV                                                                        
Z3003 ,Prescripcion Inicial de Metodo Oral Combinado                                                       
Z30051,Prescripcion Inicial de Metodo Inyectable Mensual                                                   
Z30052,Prescripcion Inicial de Metodo Inyectable Trimestral                                                
